pair,strategy,equity_value
BTCUSDT,basic,931.6307172800155644075876282
BTCUSDT,basic,933.7532868759297775194792788
BTCUSDT,basic,934.9514191634831190052522096
BTCUSDT,basic,939.2337596146192595788914229
BTCUSDT,basic,941.1099058312094400424893997
BTCUSDT,basic,931.3118493430922985516798096
BTCUSDT,basic,929.2909538656619513508605205
BTCUSDT,basic,930.9194180137034020641020293
BTCUSDT,basic,926.3099582185043146321433476
BTCUSDT,basic,921.8831482152446066772967761
BTCUSDT,basic,917.4006761773816268756733134
BTCUSDT,basic,918.3118273217040290911292074
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
BTCUSDT,basic,918.1227455718847041026050171
